        Time                 U                 r                K
  100.000000    7.95922581e-04               inf    2.38564728e-02
  200.000000    1.29479855e-03    6.26789560e-01    3.88094610e-02
  300.000000    1.63253154e-03    2.60838258e-01    4.89324531e-02
  400.000000    1.86653625e-03    1.43338553e-01    5.59463602e-02
  500.000000    2.03422595e-03    8.98400414e-02    6.09725835e-02
  600.000000    2.15650835e-03    6.01124976e-02    6.46377978e-02
  700.000000    2.24521248e-03    4.11332222e-02    6.72965587e-02
  800.000000    2.30906964e-03    2.84414754e-02    6.92105721e-02
  900.000000    2.35513852e-03    1.99512717e-02    7.05914110e-02
 1000.000000    2.38857837e-03    1.41986782e-02    7.15937157e-02
 1100.000000    2.41289114e-03    1.01787626e-02    7.23224512e-02
 1200.000000    2.43052532e-03    7.30832052e-03    7.28510068e-02
 1300.000000    2.44329521e-03    5.25396208e-03    7.32337633e-02
 1400.000000    2.45255065e-03    3.78809837e-03    7.35111800e-02
 1500.000000    2.45926740e-03    2.73867772e-03    7.37125034e-02
 1600.000000    2.46414192e-03    1.98210172e-03    7.38586091e-02
 1700.000000    2.46767712e-03    1.43465858e-03    7.39645710e-02
 1800.000000    2.47024037e-03    1.03872824e-03    7.40414000e-02
 1900.000000    2.47209942e-03    7.52578918e-04    7.40971220e-02
 2000.000000    2.47344807e-03    5.45548484e-04    7.41375456e-02
 2100.000000    2.47442638e-03    3.95526857e-04    7.41668690e-02
 2200.000000    2.47513594e-03    2.86757550e-04    7.41881369e-02
 2300.000000    2.47565057e-03    2.07917934e-04    7.42035620e-02
 2400.000000    2.47602384e-03    1.50778145e-04    7.42147502e-02
 2500.000000    2.47629460e-03    1.09352276e-04    7.42228658e-02
 2600.000000    2.47649099e-03    7.93090560e-05    7.42287523e-02
 2700.000000    2.47663344e-03    5.75196814e-05    7.42330219e-02
 2800.000000    2.47673676e-03    4.17178253e-05    7.42361188e-02
 2900.000000    2.47681170e-03    3.02581869e-05    7.42383650e-02
 3000.000000    2.47686606e-03    2.19468440e-05    7.42399943e-02
 3100.000000    2.47690549e-03    1.59184890e-05    7.42411761e-02
 3200.000000    2.47693409e-03    1.15460336e-05    7.42420333e-02
 3300.000000    2.47695483e-03    8.37468885e-06    7.42426551e-02
