        Time             u_ref                 u                r
 1000.000000    9.96892628e-03    9.93515521e-03    3.10994541e-01
 2000.000000    9.96892628e-03    9.96035013e-03    9.00216572e-02
 3000.000000    9.96892628e-03    9.96739341e-03    2.59208835e-02
 4000.000000    9.96892628e-03    9.96941604e-03    7.49891360e-03
 5000.000000    9.96892628e-03    9.96999725e-03    2.20737606e-03
 6000.000000    9.96892628e-03    9.97016426e-03    6.94270599e-04
 7000.000000    9.96892628e-03    9.97021225e-03    2.79012914e-04
 8000.000000    9.96892628e-03    9.97022604e-03    1.93239882e-04
 9000.000000    9.96892628e-03    9.97023000e-03    1.87550590e-04
 10000.000000    9.96892628e-03    9.97023114e-03    1.88383064e-04
 11000.000000    9.96892628e-03    9.97023147e-03    1.88767502e-04
 12000.000000    9.96892628e-03    9.97023156e-03    1.88879316e-04
 13000.000000    9.96892628e-03    9.97023159e-03    1.88925720e-04
 14000.000000    9.96892628e-03    9.97023160e-03    1.88939055e-04
 15000.000000    9.96892628e-03    9.97023160e-03    1.88942886e-04
 16000.000000    9.96892628e-03    9.97023160e-03    1.88943988e-04
 17000.000000    9.96892628e-03    9.97023160e-03    1.88944304e-04
 18000.000000    9.96892628e-03    9.97023160e-03    1.88944395e-04
 19000.000000    9.96892628e-03    9.97023160e-03    1.88944421e-04
 20000.000000    9.96892628e-03    9.97023160e-03    1.88944428e-04
 21000.000000    9.96892628e-03    9.97023160e-03    1.88944431e-04
 22000.000000    9.96892628e-03    9.97023160e-03    1.88944431e-04
 23000.000000    9.96892628e-03    9.97023160e-03    1.88944431e-04
 24000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 25000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 26000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 27000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 28000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 29000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 30000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 31000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 32000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 33000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 34000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 35000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 36000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 37000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 38000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 39000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 40000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 41000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 42000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 43000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 44000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 45000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 46000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 47000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 48000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
 49000.000000    9.96892628e-03    9.97023160e-03    1.88944432e-04
