        Time             u_ref                 u                r
 1000.000000    9.98509295e-03    9.91360394e-03    5.07758490e-01
 2000.000000    9.98509295e-03    9.95304401e-03    2.60902146e-01
 3000.000000    9.98509295e-03    9.97000806e-03    1.31020327e-01
 4000.000000    9.98509295e-03    9.97833035e-03    6.56107565e-02
 5000.000000    9.98509295e-03    9.98248472e-03    3.28511438e-02
 6000.000000    9.98509295e-03    9.98456310e-03    1.64551697e-02
 7000.000000    9.98509295e-03    9.98560316e-03    8.25188327e-03
 8000.000000    9.98509295e-03    9.98612366e-03    4.14767330e-03
 9000.000000    9.98509295e-03    9.98638413e-03    2.09459857e-03
 10000.000000    9.98509295e-03    9.98651449e-03    1.07062973e-03
 11000.000000    9.98509295e-03    9.98657972e-03    5.63634648e-04
 12000.000000    9.98509295e-03    9.98661237e-03    3.19590777e-04
 13000.000000    9.98509295e-03    9.98662871e-03    2.11478974e-04
 14000.000000    9.98509295e-03    9.98663688e-03    1.74265041e-04
 15000.000000    9.98509295e-03    9.98664097e-03    1.67894397e-04
 16000.000000    9.98509295e-03    9.98664302e-03    1.68997156e-04
 17000.000000    9.98509295e-03    9.98664405e-03    1.70532660e-04
 18000.000000    9.98509295e-03    9.98664456e-03    1.71488965e-04
 19000.000000    9.98509295e-03    9.98664482e-03    1.72056333e-04
 20000.000000    9.98509295e-03    9.98664494e-03    1.72340269e-04
 21000.000000    9.98509295e-03    9.98664501e-03    1.72482363e-04
 22000.000000    9.98509295e-03    9.98664504e-03    1.72553474e-04
 23000.000000    9.98509295e-03    9.98664506e-03    1.72589060e-04
 24000.000000    9.98509295e-03    9.98664507e-03    1.72606870e-04
 25000.000000    9.98509295e-03    9.98664507e-03    1.72615782e-04
 26000.000000    9.98509295e-03    9.98664507e-03    1.72620242e-04
 27000.000000    9.98509295e-03    9.98664507e-03    1.72622474e-04
 28000.000000    9.98509295e-03    9.98664507e-03    1.72623591e-04
 29000.000000    9.98509295e-03    9.98664507e-03    1.72624150e-04
 30000.000000    9.98509295e-03    9.98664507e-03    1.72624430e-04
 31000.000000    9.98509295e-03    9.98664507e-03    1.72624570e-04
 32000.000000    9.98509295e-03    9.98664507e-03    1.72624640e-04
 33000.000000    9.98509295e-03    9.98664507e-03    1.72624675e-04
 34000.000000    9.98509295e-03    9.98664507e-03    1.72624693e-04
 35000.000000    9.98509295e-03    9.98664507e-03    1.72624702e-04
 36000.000000    9.98509295e-03    9.98664507e-03    1.72624706e-04
 37000.000000    9.98509295e-03    9.98664507e-03    1.72624708e-04
 38000.000000    9.98509295e-03    9.98664507e-03    1.72624709e-04
 39000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 40000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 41000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 42000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 43000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 44000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 45000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 46000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 47000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 48000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 49000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 50000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 51000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 52000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 53000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 54000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 55000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 56000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 57000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 58000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 59000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 60000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 61000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 62000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 63000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 64000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 65000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 66000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 67000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 68000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 69000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 70000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 71000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 72000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 73000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 74000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 75000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 76000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 77000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 78000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 79000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 80000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 81000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 82000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 83000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 84000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 85000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 86000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 87000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 88000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 89000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 90000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 91000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 92000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 93000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 94000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 95000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 96000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 97000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 98000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
 99000.000000    9.98509295e-03    9.98664507e-03    1.72624710e-04
