        Time                 U                 r                K
  100.000000    8.72865861e-04               inf    1.58268314e-02
  200.000000    1.51069914e-03    7.30734590e-01    2.73920446e-02
  300.000000    1.96967421e-03    3.03816330e-01    3.57141951e-02
  400.000000    2.36065208e-03    1.98498751e-01    4.28034182e-02
  500.000000    2.66270773e-03    1.27954330e-01    4.82803009e-02
  600.000000    2.90781291e-03    9.20511009e-02    5.27245557e-02
  700.000000    3.11336048e-03    7.06880341e-02    5.64515509e-02
  800.000000    3.27566262e-03    5.21308516e-02    5.93944183e-02
  900.000000    3.41188876e-03    4.15873538e-02    6.18644750e-02
 1000.000000    3.52307747e-03    3.25886109e-02    6.38805523e-02
 1100.000000    3.61351222e-03    2.56692474e-02    6.55203180e-02
 1200.000000    3.68899233e-03    2.08882951e-02    6.68889258e-02
 1300.000000    3.75028498e-03    1.66150115e-02    6.80002860e-02
 1400.000000    3.80093237e-03    1.35049442e-02    6.89186261e-02
 1500.000000    3.84270521e-03    1.09901552e-02    6.96760525e-02
 1600.000000    3.87685378e-03    8.88659843e-03    7.02952356e-02
 1700.000000    3.90512375e-03    7.29198770e-03    7.08078276e-02
 1800.000000    3.92831566e-03    5.93884109e-03    7.12283440e-02
 1900.000000    3.94739556e-03    4.85701730e-03    7.15743013e-02
 2000.000000    3.96313724e-03    3.98786344e-03    7.18597299e-02
 2100.000000    3.97605652e-03    3.25986183e-03    7.20939827e-02
 2200.000000    3.98670849e-03    2.67903122e-03    7.22871247e-02
 2300.000000    3.99547335e-03    2.19851825e-03    7.24460493e-02
 2400.000000    4.00268108e-03    1.80397491e-03    7.25767401e-02
 2500.000000    4.00862098e-03    1.48398063e-03    7.26844426e-02
 2600.000000    4.01350540e-03    1.21847928e-03    7.27730071e-02
 2700.000000    4.01752690e-03    1.00199023e-03    7.28459249e-02
 2800.000000    4.02083779e-03    8.24113567e-04    7.29059582e-02
 2900.000000    4.02356152e-03    6.77401360e-04    7.29553448e-02
 3000.000000    4.02580442e-03    5.57443058e-04    7.29960133e-02
 3100.000000    4.02765014e-03    4.58471026e-04    7.30294798e-02
 3200.000000    4.02916925e-03    3.77170026e-04    7.30570244e-02
 3300.000000    4.03041987e-03    3.10392718e-04    7.30797007e-02
 3400.000000    4.03144902e-03    2.55345709e-04    7.30983613e-02
 3500.000000    4.03229621e-03    2.10146024e-04    7.31137227e-02
 3600.000000    4.03299352e-03    1.72931526e-04    7.31263663e-02
 3700.000000    4.03356743e-03    1.42302865e-04    7.31367724e-02
 3800.000000    4.03403986e-03    1.17123217e-04    7.31453384e-02
 3900.000000    4.03442868e-03    9.63850793e-05    7.31523886e-02
 4000.000000    4.03474872e-03    7.93275234e-05    7.31581915e-02
 4100.000000    4.03501215e-03    6.52902457e-05    7.31629681e-02
 4200.000000    4.03522897e-03    5.37340345e-05    7.31668994e-02
 4300.000000    4.03540743e-03    4.42272169e-05    7.31701354e-02
 4400.000000    4.03555432e-03    3.64009046e-05    7.31727988e-02
 4500.000000    4.03567523e-03    2.99599975e-05    7.31749911e-02
 4600.000000    4.03577475e-03    2.46595087e-05    7.31767956e-02
 4700.000000    4.03585666e-03    2.02961836e-05    7.31782808e-02
 4800.000000    4.03592408e-03    1.67054300e-05    7.31795032e-02
 4900.000000    4.03597957e-03    1.37498720e-05    7.31805094e-02
 5000.000000    4.03602525e-03    1.13171721e-05    7.31813376e-02
 5100.000000    4.03606284e-03    9.31503579e-06    7.31820193e-02
