        Time                 U                 r                K
  100.000000    7.98541736e-04               inf    2.39349777e-02
  200.000000    1.29878406e-03    6.26444811e-01    3.89289203e-02
  300.000000    1.63764118e-03    2.60903352e-01    4.90856061e-02
  400.000000    1.87254931e-03    1.43442983e-01    5.61265918e-02
  500.000000    2.04087831e-03    8.98929571e-02    6.11719771e-02
  600.000000    2.16363468e-03    6.01487977e-02    6.48513980e-02
  700.000000    2.25272952e-03    4.11783158e-02    6.75218693e-02
  800.000000    2.31690542e-03    2.84880670e-02    6.94454369e-02
  900.000000    2.36321698e-03    1.99885382e-02    7.08335496e-02
 1000.000000    2.39683768e-03    1.42266660e-02    7.18412749e-02
 1100.000000    2.42128965e-03    1.02017642e-02    7.25741826e-02
 1200.000000    2.43903310e-03    7.32810078e-03    7.31060136e-02
 1300.000000    2.45188734e-03    5.27021846e-03    7.34912982e-02
 1400.000000    2.46120656e-03    3.80083465e-03    7.37706265e-02
 1500.000000    2.46797148e-03    2.74862010e-03    7.39733939e-02
 1600.000000    2.47288272e-03    1.98998971e-03    7.41206002e-02
 1700.000000    2.47644594e-03    1.44091687e-03    7.42274018e-02
 1800.000000    2.47903040e-03    1.04361957e-03    7.43048670e-02
 1900.000000    2.48090544e-03    7.56359587e-04    7.43610682e-02
 2000.000000    2.48226614e-03    5.48467365e-04    7.44018528e-02
 2100.000000    2.48325354e-03    3.97782513e-04    7.44314486e-02
 2200.000000    2.48396995e-03    2.88494990e-04    7.44529217e-02
 2300.000000    2.48448972e-03    2.09248888e-04    7.44685009e-02
 2400.000000    2.48486685e-03    1.51793977e-04    7.44798047e-02
 2500.000000    2.48514050e-03    1.10126437e-04    7.44880069e-02
 2600.000000    2.48533905e-03    7.98982044e-05    7.44939584e-02
 2700.000000    2.48548312e-03    5.79669862e-05    7.44982766e-02
 2800.000000    2.48558765e-03    4.20565894e-05    7.45014097e-02
 2900.000000    2.48566350e-03    3.05142684e-05    7.45036831e-02
 3000.000000    2.48571853e-03    2.21401551e-05    7.45053326e-02
 3100.000000    2.48575846e-03    1.60642103e-05    7.45065295e-02
 3200.000000    2.48578744e-03    1.16557099e-05    7.45073979e-02
 3300.000000    2.48580846e-03    8.45711281e-06    7.45080280e-02
