        Time                 U                 r                K
  100.000000    1.97327527e-07               inf    3.51630351e-03
  200.000000    2.00575065e-07    1.64576011e-02    3.57417343e-03
  300.000000    1.98025350e-07    1.27120237e-02    3.52873846e-03
  400.000000    1.97211406e-07    4.11030255e-03    3.51423427e-03
  500.000000    1.97035231e-07    8.93331258e-04    3.51109490e-03
  600.000000    1.97017100e-07    9.20166160e-05    3.51077182e-03
  700.000000    1.97013110e-07    2.02543391e-05    3.51070071e-03
  800.000000    1.97009828e-07    1.66567377e-05    3.51064223e-03
  900.000000    1.97007601e-07    1.13054221e-05    3.51060255e-03
 1000.000000    1.97006404e-07    6.07653289e-06    3.51058121e-03
