        Time                 U                 r                K
  100.000000    1.43395885e-07               inf    3.81711936e-03
  200.000000    1.41554672e-07    1.28400707e-02    3.76810728e-03
  300.000000    1.39861653e-07    1.19601812e-02    3.72304003e-03
  400.000000    1.39475462e-07    2.76122985e-03    3.71275986e-03
  500.000000    1.39407374e-07    4.88177298e-04    3.71094738e-03
  600.000000    1.39389616e-07    1.27378993e-04    3.71047468e-03
  700.000000    1.39381975e-07    5.48163766e-05    3.71027129e-03
  800.000000    1.39378377e-07    2.58160589e-05    3.71017550e-03
  900.000000    1.39376697e-07    1.20527854e-05    3.71013078e-03
 1000.000000    1.39375891e-07    5.78631849e-06    3.71010931e-03
