        Time                 U                 r                K
  100.000000    1.05127221e-07               inf    3.81603905e-03
  200.000000    1.02456584e-07    2.54038634e-02    3.71909691e-03
  300.000000    1.00930105e-07    1.48987849e-02    3.66368689e-03
  400.000000    1.00407312e-07    5.17975906e-03    3.64470987e-03
  500.000000    1.00220719e-07    1.85835768e-03    3.63793670e-03
  600.000000    1.00146135e-07    7.44192554e-04    3.63522937e-03
  700.000000    1.00112949e-07    3.31384482e-04    3.63402472e-03
  800.000000    1.00097029e-07    1.59018733e-04    3.63344684e-03
  900.000000    1.00088973e-07    8.04825469e-05    3.63315441e-03
 1000.000000    1.00084720e-07    4.24837752e-05    3.63300006e-03
 1100.000000    1.00082394e-07    2.32493588e-05    3.63291559e-03
 1200.000000    1.00081078e-07    1.31433712e-05    3.63286785e-03
 1300.000000    1.00080312e-07    7.65446704e-06    3.63284004e-03
